False,-56,52,1028,300
False,-64,52,1016,299
False,-52,44,1024,300
False,-60,48,1028,299
False,-56,48,1020,300
False,-56,52,1016,298
False,-52,52,1024,300
False,-60,48,1016,299
False,-56,48,1012,301
False,-60,48,1004,301
False,-64,48,1020,299
False,-68,56,1020,299
False,-60,68,1020,298
False,-68,48,1032,300
False,-52,48,1012,301
False,-60,52,1020,302
False,-60,44,1028,300
False,-56,44,1008,303
False,-60,48,1028,299
False,-52,52,1068,300
False,76,-176,1028,318
False,44,-48,1148,314
False,-96,-124,1756,328
False,28,84,1088,335
False,-316,180,748,290
False,-404,268,1008,287
False,-348,260,952,268
False,-368,468,792,254
False,-340,508,788,239
False,80,956,620,161
False,-752,560,540,261
False,-896,636,20,260
False,-928,348,-356,259
False,-528,-128,-532,272
False,-552,304,-1360,281
False,-332,140,-1052,277
False,44,212,-1280,273
False,24,164,-844,271
False,44,40,-840,269
False,-108,40,-972,269
False,56,168,-984,268
False,20,112,-932,268
False,132,144,100,103
False,108,-12,-952,261
False,36,-32,-980,261
False,48,-8,-992,261
False,-96,44,-764,263
False,-84,64,-1012,261
False,28,-120,-1124,263
False,200,252,-1004,268
False,172,280,-1436,267
False,264,168,-964,267
False,284,164,-912,265
False,256,184,-940,265
False,312,200,-888,269
True,252,256,-940,269
True,268,240,-952,269
True,312,160,-844,269
True,272,180,-920,267
True,272,192,-920,266
True,312,224,-900,267
True,208,228,-988,266
True,304,224,-916,267
True,316,232,-908,267
True,296,216,-916,265
True,308,224,-916,267
True,368,132,-956,267
False,384,220,-864,264
True,352,208,-860,265
True,332,212,-908,265
True,388,172,-828,266
False,372,160,-880,262
False,384,184,-848,266
False,348,224,-976,263
False,340,388,-920,267
False,520,260,-800,263
False,468,332,-900,263
False,572,296,-812,266
False,504,256,-688,270
False,520,328,-756,270
False,620,300,-776,270
False,596,276,-696,268
False,648,380,-644,272
False,584,316,-708,270
False,584,324,-732,269
False,612,312,-700,268
False,540,232,-756,268
False,556,296,-848,269
False,608,284,-612,264
False,648,304,-560,268
True,788,276,-576,270
True,792,312,-524,269
True,804,300,-564,269
True,732,256,-572,269
True,784,292,-508,270
True,1252,736,-764,270
False,792,260,-500,267
True,864,316,-468,269
True,828,284,-416,272
True,824,276,-420,269
True,832,280,-392,271
False,856,268,-420,271
False,820,300,-416,270
True,844,288,-428,272
True,816,256,-424,269
False,836,284,-420,269
True,840,264,-464,269
False,832,268,-464,271
False,820,280,-448,270
True,832,284,-464,270
True,848,220,-528,268
False,840,284,-476,268
True,804,276,-468,268
True,792,292,-504,269
False,836,248,-532,271
False,808,264,-508,269
